EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=1800
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1506519000,927.74,927.74,927.74,927.74,14929
1,933,935.53,928.47,928.745,136776
2,932.365,934,930.065,932.98,73146
3,932.39,933.14,930.3,932.45,56624
4,934.8675,935.62,931.1495,932.15,74960
5,934.325,935.96,933.6,935.2308,62358
6,935.48,935.7,933.56,934.36,45043
7,935.5,935.56,933.71,935.385,32434
8,935.96,936.86,935.21,935.5,58203
9,936.08,936.4,935.415,935.88,38559
10,939.81,940.36,936.08,936.12,112876
11,944.2,944.2,939.74,939.8925,117561
12,948.77,949.2499,943.95,944.19,165746
13,944.49,949.9,944.07,948.765,377316
48,941.36,941.36,941.36,941.36,13627
49,947.84,948.1498,940.55,941.63,106773
50,948.17,948.55,944.31,947.7683,54292
51,947.82,950.69,947.71,948.48,68908
52,947.09,948.98,946.55,948.15,26444
53,945.57,947.58,945,947.58,33068
54,946.4,946.85,944.95,945.4416,17965
55,946.5,946.83,945.25,946.39,16163
56,948.2104,948.46,945.8,946.46,27849
57,949.22,949.47,947.8,948.185,23687
58,948,949.51,947.9,949.195,20906
59,948.78,949.1484,947.49,948.53,20743
60,947.8736,949.21,947.59,948.62,27602
61,949.5,950.08,947.4,947.87,129852
96,952,952,952,952,18209
97,955.14,959.7864,951.51,951.51,196489
98,956.425,956.915,953.51,955.25,74709
99,956.9466,958.53,956.07,956.475,46872
100,958.2,959.02,956.59,956.94,60170
101,958.5,958.6,956.01,958.03,52942
102,959.11,959.236,957.47,958.2302,24400
103,958.9816,959.25,958.33,959.1307,28287
104,957.71,959.13,957.43,958.9383,25560
105,958.87,959.405,957.52,957.53,45401
106,959.09,959.28,957.7798,958.9,36429
107,958.7,959.22,958.05,959.07,23219
108,957.8274,959,957.74,958.805,58518
109,959.11,959.39,956.07,957.62,335640
240,959.26,959.98,959.26,959.98,24547
241,958.92,962.54,955.371,959.87,112079
242,958.65,960.61,956.97,958.925,57521
243,957.8425,959.535,957.27,958.65,34951
244,956.06,958.07,955.87,957.77,30366
245,949.8964,956,949.5,955.99,60363
246,954,954.93,947.84,949.44,57387
247,953.8,954.4,952.665,954.045,29613
248,953.67,954.39,953.04,953.53,23593
249,952.5,954.29,952.26,953.6888,34598
250,952.97,953,950.815,952.7,35087
251,952.47,953.92,951.32,953.2,33724
252,952.992,953.42,951.56,952.7,69007
253,953.27,953.79,951.49,952.97,238489
288,954,954,954,954,8934
289,954.11,956.39,951.7125,953.38,50483
290,951.45,954.53,949.14,954.06,59407
291,953.48,954.46,950.62,951.38,34319
292,952.55,954.05,952.28,953.08,22134
293,951.86,952.55,951.05,952.3,30461
294,953.7124,954.18,951.5528,951.87,41177
295,952.37,954.8,951.89,953.8,31910
296,953.2385,953.808,952.02,952.34,18285
